algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
UCS,20x20,0,Local Cost Spiking,0,1,38,128.0,2.155125141143799,4,3,922,2.0586643368005753,,10,5,5,50
A*,20x20,0,Local Cost Spiking,0,1,42,151.0,1.9006673246622086,5,4,742,1.8125008791685104,,10,5,5,50
wA*,20x20,0,Local Cost Spiking,0,1,34,113.0,1.5791673213243484,4,3,624,1.5117079019546509,2.0,10,5,5,50
GBFS,20x20,0,Local Cost Spiking,0,1,34,283.0,0.17358362674713135,4,3,80,0.1293756067752838,,10,5,5,50
D*Lite,20x20,0,Local Cost Spiking,0,1,34,120.0,5.721708759665489,4,3,318,5.416126921772957,,10,5,5,50
UCS,20x20,1,Local Cost Spiking,0,1,34,131.0,1.9795820116996765,4,3,973,1.9091665744781494,,10,5,5,50
A*,20x20,1,Local Cost Spiking,0,1,36,133.0,2.01970711350441,4,3,879,1.9547492265701294,,10,5,5,50
wA*,20x20,1,Local Cost Spiking,0,1,36,161.0,1.7289593815803528,4,3,741,1.6675833612680435,2.0,10,5,5,50
GBFS,20x20,1,Local Cost Spiking,0,1,34,366.0,0.15087425708770752,4,3,80,0.11224858462810516,,10,5,5,50
D*Lite,20x20,1,Local Cost Spiking,0,1,34,146.0,6.292000412940979,4,3,367,5.993122234940529,,10,5,5,50
UCS,20x20,2,Local Cost Spiking,0,1,40,141.0,1.6282927244901657,4,3,858,1.5649162232875824,,10,5,5,50
A*,20x20,2,Local Cost Spiking,0,1,34,140.0,1.6029160469770432,4,3,746,1.5441644936800003,,10,5,5,50
wA*,20x20,2,Local Cost Spiking,0,1,34,163.0,1.8453337252140045,4,3,853,1.787874847650528,2.0,10,5,5,50
GBFS,20x20,2,Local Cost Spiking,0,1,34,265.0,0.1373346894979477,4,3,80,0.10195933282375336,,10,5,5,50
D*Lite,20x20,2,Local Cost Spiking,0,1,38,186.0,6.882624700665474,4,3,430,6.570415571331978,,10,5,5,50
UCS,20x20,3,Local Cost Spiking,0,1,34,115.0,1.4416668564081192,4,3,778,1.3768784701824188,,10,5,5,50
A*,20x20,3,Local Cost Spiking,0,1,36,146.0,1.7702504992485046,4,3,862,1.7059985548257828,,10,5,5,50
wA*,20x20,3,Local Cost Spiking,0,1,36,143.0,1.4651678502559662,4,3,718,1.4109574258327484,2.0,10,5,5,50
GBFS,20x20,3,Local Cost Spiking,0,1,34,381.0,0.13525038957595825,4,3,80,0.09999983012676239,,10,5,5,50
D*Lite,20x20,3,Local Cost Spiking,0,1,36,169.0,6.234709173440933,4,3,421,5.9907883405685425,,10,5,5,50
UCS,20x20,4,Local Cost Spiking,0,1,38,143.0,1.5138741582632065,4,3,905,1.458125188946724,,10,5,5,50
A*,20x20,4,Local Cost Spiking,0,1,34,132.0,1.5881247818470001,4,3,836,1.5357080847024918,,10,5,5,50
wA*,20x20,4,Local Cost Spiking,0,1,34,137.0,1.4300812035799026,4,3,724,1.3790857046842575,2.0,10,5,5,50
GBFS,20x20,4,Local Cost Spiking,0,1,34,354.0,0.12566521763801575,4,3,80,0.09354576468467712,,10,5,5,50
D*Lite,20x20,4,Local Cost Spiking,0,1,34,140.0,4.8117488622665405,4,3,338,4.569500684738159,,10,5,5,50
UCS,20x20,5,Local Cost Spiking,0,1,36,111.0,1.289375126361847,4,3,762,1.2366250157356262,,10,5,5,50
A*,20x20,5,Local Cost Spiking,0,1,34,145.0,1.2540407478809357,4,3,669,1.2049991637468338,,10,5,5,50
wA*,20x20,5,Local Cost Spiking,0,1,34,134.0,1.2545417994260788,4,3,580,1.1990033090114594,2.0,10,5,5,50
GBFS,20x20,5,Local Cost Spiking,0,1,34,421.0,0.13704225420951843,4,3,80,0.10333210229873657,,10,5,5,50
D*Lite,20x20,5,Local Cost Spiking,0,1,34,192.0,5.239959806203842,4,3,361,4.951998591423035,,10,5,5,50
UCS,20x20,6,Local Cost Spiking,0,1,38,125.0,1.6430001705884933,4,3,988,1.5869978815317154,,10,5,5,50
A*,20x20,6,Local Cost Spiking,0,1,40,149.0,1.4805011451244354,4,3,776,1.4279559254646301,,10,5,5,50
wA*,20x20,6,Local Cost Spiking,0,1,36,191.0,1.344999298453331,4,3,691,1.2934152036905289,2.0,10,5,5,50
GBFS,20x20,6,Local Cost Spiking,0,1,34,372.0,0.12395903468132019,4,3,80,0.09224936366081238,,10,5,5,50
D*Lite,20x20,6,Local Cost Spiking,0,1,38,182.0,4.936333745718002,4,3,345,4.661086946725845,,10,5,5,50
UCS,20x20,7,Local Cost Spiking,0,1,36,187.0,1.6046669334173203,4,3,985,1.5494581311941147,,10,5,5,50
A*,20x20,7,Local Cost Spiking,0,1,36,141.0,1.508459448814392,4,3,808,1.4550834894180298,,10,5,5,50
wA*,20x20,7,Local Cost Spiking,0,1,44,193.0,1.5466660261154175,5,4,786,1.4828331768512726,2.0,10,5,5,50
GBFS,20x20,7,Local Cost Spiking,0,1,34,362.0,0.12458302080631256,4,3,80,0.09170733392238617,,10,5,5,50
D*Lite,20x20,7,Local Cost Spiking,0,1,36,193.0,7.044041529297829,4,3,485,6.775083020329475,,10,5,5,50
UCS,20x20,8,Local Cost Spiking,0,1,34,127.0,1.5866663306951523,4,3,970,1.5315022319555283,,10,5,5,50
A*,20x20,8,Local Cost Spiking,0,1,40,172.0,1.5937499701976776,4,3,847,1.5404149889945984,,10,5,5,50
wA*,20x20,8,Local Cost Spiking,0,1,34,145.0,1.4858338981866837,4,3,765,1.4348756521940231,2.0,10,5,5,50
GBFS,20x20,8,Local Cost Spiking,0,1,34,416.0,0.12250058352947235,4,3,80,0.09104050695896149,,10,5,5,50
D*Lite,20x20,8,Local Cost Spiking,0,1,34,145.0,5.364418029785156,4,3,377,5.110248923301697,,10,5,5,50
UCS,20x20,9,Local Cost Spiking,0,1,34,112.0,1.5835408121347427,4,3,965,1.5286672860383987,,10,5,5,50
A*,20x20,9,Local Cost Spiking,0,1,42,142.0,1.7582904547452927,5,4,929,1.6940832138061523,,10,5,5,50
wA*,20x20,9,Local Cost Spiking,0,1,36,160.0,1.3797935098409653,4,3,704,1.3286266475915909,2.0,10,5,5,50
GBFS,20x20,9,Local Cost Spiking,0,1,34,324.0,0.12495741248130798,4,3,80,0.09283795952796936,,10,5,5,50
D*Lite,20x20,9,Local Cost Spiking,0,1,34,165.0,5.375666543841362,4,3,373,5.106749013066292,,10,5,5,50
UCS,40x40,0,Local Cost Spiking,0,1,86,298.0,14.472458511590958,9,8,8525,14.230750501155853,,10,5,5,50
A*,40x40,0,Local Cost Spiking,0,1,86,363.0,13.809917494654655,9,8,7106,13.574667274951935,,10,5,5,50
wA*,40x40,0,Local Cost Spiking,0,1,78,325.0,16.643082723021507,8,7,8311,16.411790624260902,2.0,10,5,5,50
GBFS,40x40,0,Local Cost Spiking,0,1,74,791.0,0.4497915506362915,8,7,320,0.37475116550922394,,10,5,5,50
D*Lite,40x40,0,Local Cost Spiking,0,1,78,334.0,23.03900010883808,8,7,1563,22.317249327898026,,10,5,5,50
