algorithm,size,rule,lookahead,runs,mean_cost,std_cost,mean_steps,std_steps,mean_replans,mean_expanded,std_expanded,mean_replan_ms,std_replan_ms,mean_total_ms,std_total_ms
A*,20x20,Local Cost Spiking,0,10,145.1,11.279,37.4,3.273,4.2,809.4,77.049,1.588,0.213,1.648,0.221
A*,40x40,Local Cost Spiking,0,10,302.5,35.366,78.2,4.158,8.2,7351.6,244.55,14.942,0.87,15.2,0.888
A*,80x80,Local Cost Spiking,0,10,582.3,29.996,160.2,3.19,16.3,60198.3,2960.838,124.259,6.745,125.614,6.801
D*Lite,20x20,Local Cost Spiking,0,10,163.8,25.068,35.2,1.687,4.0,381.5,50.116,5.515,0.777,5.79,0.786
D*Lite,40x40,Local Cost Spiking,0,10,292.5,26.307,75.8,1.751,8.0,1555.8,36.796,25.929,6.338,26.792,6.557
D*Lite,80x80,Local Cost Spiking,0,10,597.9,24.547,158.6,4.115,16.2,6382.5,54.392,96.781,2.099,98.567,2.158
GBFS,20x20,Local Cost Spiking,0,10,354.4,51.049,34.0,0.0,4.0,80.0,0.0,0.101,0.012,0.136,0.016
GBFS,40x40,Local Cost Spiking,0,10,693.5,96.131,74.0,0.0,8.0,320.0,0.0,0.413,0.024,0.5,0.033
GBFS,80x80,Local Cost Spiking,0,10,1388.9,132.444,154.0,0.0,16.0,1280.0,0.0,1.595,0.048,1.774,0.053
UCS,20x20,Local Cost Spiking,0,10,132.0,22.231,36.2,2.201,4.0,910.6,84.656,1.58,0.24,1.643,0.251
UCS,40x40,Local Cost Spiking,0,10,281.3,17.075,76.8,3.553,8.1,8365.4,122.181,14.712,0.599,14.969,0.616
UCS,80x80,Local Cost Spiking,0,10,586.2,32.362,159.8,3.706,16.3,70589.0,2450.988,128.643,6.557,130.206,6.68
wA*,20x20,Local Cost Spiking,0,10,154.0,25.007,35.8,3.048,4.1,718.6,77.763,1.45,0.175,1.506,0.178
wA*,40x40,Local Cost Spiking,0,10,289.7,24.855,75.8,1.989,8.0,6487.8,958.949,13.92,1.754,14.16,1.764
wA*,80x80,Local Cost Spiking,0,10,586.2,28.319,159.4,4.115,16.2,47492.1,4061.87,103.034,10.743,104.196,10.867
