algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
UCS,20x20,0,Path Ahead Spiking,10,1,36,131.0,1.5677083283662796,4,3,878,1.5143360942602158,,10,5,5,50
A*,20x20,0,Path Ahead Spiking,10,1,34,202.0,2.2050831466913223,4,3,1143,2.15974822640419,,10,5,5,50
wA*,20x20,0,Path Ahead Spiking,10,1,36,225.0,2.47812457382679,4,3,1276,2.4316255003213882,2.0,10,5,5,50
GBFS,20x20,0,Path Ahead Spiking,10,1,34,833.0,0.12158229947090149,4,3,80,0.09862706065177917,,10,5,5,50
D*Lite,20x20,0,Path Ahead Spiking,10,1,34,250.0,7.627708837389946,4,3,522,7.3752496391534805,,10,5,5,50
UCS,20x20,1,Path Ahead Spiking,10,1,36,140.0,1.6698762774467468,4,3,996,1.6285013407468796,,10,5,5,50
A*,20x20,1,Path Ahead Spiking,10,1,38,200.0,2.1275002509355545,4,3,1115,2.084581181406975,,10,5,5,50
wA*,20x20,1,Path Ahead Spiking,10,1,36,253.0,2.4567078799009323,4,3,1264,2.4138744920492172,2.0,10,5,5,50
GBFS,20x20,1,Path Ahead Spiking,10,1,34,816.0,0.11637434363365173,4,3,80,0.09474903345108032,,10,5,5,50
D*Lite,20x20,1,Path Ahead Spiking,10,1,34,279.0,8.593875914812088,4,3,557,8.360624313354492,,10,5,5,50
UCS,20x20,2,Path Ahead Spiking,10,1,34,136.0,1.5002917498350143,4,3,873,1.4596674591302872,,10,5,5,50
A*,20x20,2,Path Ahead Spiking,10,1,38,183.0,2.2120829671621323,4,3,1114,2.1681655198335648,,10,5,5,50
wA*,20x20,2,Path Ahead Spiking,10,1,34,225.0,2.311166375875473,4,3,1181,2.269294112920761,2.0,10,5,5,50
GBFS,20x20,2,Path Ahead Spiking,10,1,34,815.0,0.12404099106788635,4,3,80,0.10108202695846558,,10,5,5,50
D*Lite,20x20,2,Path Ahead Spiking,10,1,34,275.0,9.849250316619873,4,3,646,9.59833711385727,,10,5,5,50
UCS,20x20,3,Path Ahead Spiking,10,1,36,136.0,1.5150420367717743,4,3,902,1.4758780598640442,,10,5,5,50
A*,20x20,3,Path Ahead Spiking,10,1,38,206.0,2.040708437561989,4,3,1034,1.9978322088718414,,10,5,5,50
wA*,20x20,3,Path Ahead Spiking,10,1,36,265.0,2.465125173330307,4,3,1286,2.420583739876747,2.0,10,5,5,50
GBFS,20x20,3,Path Ahead Spiking,10,1,34,831.0,0.11537596583366394,4,3,80,0.09437650442123413,,10,5,5,50
D*Lite,20x20,3,Path Ahead Spiking,10,1,34,281.0,8.645500987768173,4,3,555,8.386710658669472,,10,5,5,50
UCS,20x20,4,Path Ahead Spiking,10,1,34,146.0,1.6553346067667007,4,3,966,1.6169585287570953,,10,5,5,50
A*,20x20,4,Path Ahead Spiking,10,1,38,204.0,2.3253746330738068,4,3,1191,2.2813770920038223,,10,5,5,50
wA*,20x20,4,Path Ahead Spiking,10,1,36,250.0,2.393042668700218,4,3,1221,2.3500435054302216,2.0,10,5,5,50
GBFS,20x20,4,Path Ahead Spiking,10,1,34,854.0,0.12304075062274933,4,3,80,0.10062754154205322,,10,5,5,50
D*Lite,20x20,4,Path Ahead Spiking,10,1,36,286.0,8.228333666920662,4,3,531,7.971582934260368,,10,5,5,50
UCS,20x20,5,Path Ahead Spiking,10,1,34,129.0,1.522459089756012,4,3,893,1.4833323657512665,,10,5,5,50
A*,20x20,5,Path Ahead Spiking,10,1,36,189.0,1.9178744405508041,4,3,978,1.8771253526210785,,10,5,5,50
wA*,20x20,5,Path Ahead Spiking,10,1,36,272.0,2.4419594556093216,4,3,1203,2.396412193775177,2.0,10,5,5,50
GBFS,20x20,5,Path Ahead Spiking,10,1,34,821.0,0.1143328845500946,4,3,80,0.09325332939624786,,10,5,5,50
D*Lite,20x20,5,Path Ahead Spiking,10,1,36,309.0,8.886458352208138,4,3,591,8.650872856378555,,10,5,5,50
UCS,20x20,6,Path Ahead Spiking,10,1,38,141.0,1.9595418125391006,4,3,1071,1.908252015709877,,10,5,5,50
A*,20x20,6,Path Ahead Spiking,10,1,36,195.0,2.082584425806999,4,3,1038,2.037499099969864,,10,5,5,50
wA*,20x20,6,Path Ahead Spiking,10,1,40,221.0,2.34299898147583,4,3,1218,2.2983327507972717,2.0,10,5,5,50
GBFS,20x20,6,Path Ahead Spiking,10,1,34,822.0,0.12287497520446777,4,3,80,0.10029226541519165,,10,5,5,50
D*Lite,20x20,6,Path Ahead Spiking,10,1,40,290.0,7.538333535194397,4,3,464,7.259335368871689,,10,5,5,50
UCS,20x20,7,Path Ahead Spiking,10,1,36,137.0,1.7032083123922348,4,3,962,1.6575008630752563,,10,5,5,50
A*,20x20,7,Path Ahead Spiking,10,1,36,181.0,2.0225420594215393,4,3,996,1.979125663638115,,10,5,5,50
wA*,20x20,7,Path Ahead Spiking,10,1,40,252.0,2.716248854994774,4,3,1279,2.665748819708824,2.0,10,5,5,50
GBFS,20x20,7,Path Ahead Spiking,10,1,34,812.0,0.12104213237762451,4,3,80,0.09904429316520691,,10,5,5,50
D*Lite,20x20,7,Path Ahead Spiking,10,1,34,279.0,8.323168382048607,4,3,534,8.049750700592995,,10,5,5,50
UCS,20x20,8,Path Ahead Spiking,10,1,34,148.0,1.784415915608406,4,3,988,1.733291894197464,,10,5,5,50
A*,20x20,8,Path Ahead Spiking,10,1,40,217.0,2.43491493165493,4,3,1181,2.3848358541727066,,10,5,5,50
wA*,20x20,8,Path Ahead Spiking,10,1,36,243.0,2.681167796254158,4,3,1274,2.6305820792913437,2.0,10,5,5,50
GBFS,20x20,8,Path Ahead Spiking,10,1,34,816.0,0.13249926269054413,4,3,80,0.10883435606956482,,10,5,5,50
D*Lite,20x20,8,Path Ahead Spiking,10,1,34,290.0,11.6993747651577,4,3,706,11.406335979700089,,10,5,5,50
UCS,20x20,9,Path Ahead Spiking,10,1,38,125.0,1.9506663084030151,4,3,1041,1.8968340009450912,,10,5,5,50
A*,20x20,9,Path Ahead Spiking,10,1,38,129.0,2.075333148241043,4,3,959,2.0296648144721985,,10,5,5,50
wA*,20x20,9,Path Ahead Spiking,10,1,40,184.0,2.4548321962356567,4,3,1088,2.3940838873386383,2.0,10,5,5,50
GBFS,20x20,9,Path Ahead Spiking,10,1,34,824.0,0.13329088687896729,4,3,80,0.10970793664455414,,10,5,5,50
D*Lite,20x20,9,Path Ahead Spiking,10,1,38,276.0,12.087833136320114,4,3,736,11.771291494369507,,10,5,5,50
UCS,40x40,0,Path Ahead Spiking,10,1,80,278.0,17.275458201766014,8,7,9042,17.026498913764954,,10,5,5,50
A*,40x40,0,Path Ahead Spiking,10,1,80,288.0,16.925208270549774,8,7,7925,16.703704372048378,,10,5,5,50
wA*,40x40,0,Path Ahead Spiking,10,1,80,337.0,15.336249023675919,8,7,6946,15.118081122636795,2.0,10,5,5,50
GBFS,40x40,0,Path Ahead Spiking,10,1,74,2041.0,0.4477091133594513,8,7,320,0.39266422390937805,,10,5,5,50
D*Lite,40x40,0,Path Ahead Spiking,10,1,82,402.0,37.037042900919914,9,8,2278,36.21695376932621,,10,5,5,50
UCS,40x40,1,Path Ahead Spiking,10,1,78,291.0,16.432084143161774,8,7,9155,16.206247732043266,,10,5,5,50
A*,40x40,1,Path Ahead Spiking,10,1,74,343.0,16.122832894325256,8,7,7900,15.92354103922844,,10,5,5,50
wA*,40x40,1,Path Ahead Spiking,10,1,80,359.0,19.936708733439445,8,7,8493,19.5919182151556,2.0,10,5,5,50
GBFS,40x40,1,Path Ahead Spiking,10,1,74,2046.0,0.43454207479953766,8,7,320,0.37904269993305206,,10,5,5,50
D*Lite,40x40,1,Path Ahead Spiking,10,1,76,357.0,30.030790716409683,8,7,1886,29.18517217040062,,10,5,5,50
UCS,40x40,2,Path Ahead Spiking,10,1,80,295.0,16.950417309999466,8,7,8555,16.655208542943,,10,5,5,50
A*,40x40,2,Path Ahead Spiking,10,1,88,344.0,16.589084640145302,9,8,7796,16.315413638949394,,10,5,5,50
wA*,40x40,2,Path Ahead Spiking,10,1,76,403.0,15.886208042502403,8,7,7129,15.664922073483467,2.0,10,5,5,50
GBFS,40x40,2,Path Ahead Spiking,10,1,74,2104.0,0.4842914640903473,8,7,320,0.41445717215538025,,10,5,5,50
D*Lite,40x40,2,Path Ahead Spiking,10,1,84,386.0,43.75162534415722,9,8,2590,42.87625104188919,,10,5,5,50
UCS,40x40,3,Path Ahead Spiking,10,1,94,303.0,16.773125156760216,10,9,9554,16.526123508810997,,10,5,5,50
A*,40x40,3,Path Ahead Spiking,10,1,94,349.0,16.341082751750946,10,9,8262,16.11778698861599,,10,5,5,50
wA*,40x40,3,Path Ahead Spiking,10,1,90,392.0,18.581125885248184,9,8,9079,18.358537927269936,2.0,10,5,5,50
GBFS,40x40,3,Path Ahead Spiking,10,1,74,2042.0,0.4631243646144867,8,7,320,0.40803849697113037,,10,5,5,50
D*Lite,40x40,3,Path Ahead Spiking,10,1,80,380.0,30.97125142812729,8,7,2003,30.215831473469734,,10,5,5,50
UCS,40x40,4,Path Ahead Spiking,10,1,76,301.0,15.368707478046417,8,7,8843,15.15403762459755,,10,5,5,50
A*,40x40,4,Path Ahead Spiking,10,1,76,405.0,16.25725068151951,8,7,7983,16.04437083005905,,10,5,5,50
wA*,40x40,4,Path Ahead Spiking,10,1,82,368.0,21.13649994134903,9,8,9689,20.849917083978653,2.0,10,5,5,50
GBFS,40x40,4,Path Ahead Spiking,10,1,74,2019.0,0.48829056322574615,8,7,320,0.428665429353714,,10,5,5,50
D*Lite,40x40,4,Path Ahead Spiking,10,1,82,361.0,42.46995784342289,9,8,2535,41.59141704440117,,10,5,5,50
