algorithm,size,rule,lookahead,runs,mean_cost,std_cost,mean_steps,std_steps,mean_replans,mean_expanded,std_expanded,mean_replan_ms,std_replan_ms,mean_total_ms,std_total_ms
A*,20x20,Path Ahead Spiking,10,10,190.6,24.263,37.2,1.687,4.0,1074.9,84.717,2.1,0.151,2.144,0.153
A*,40x40,Path Ahead Spiking,10,10,344.2,34.227,84.4,8.422,8.7,7992.5,523.161,16.385,0.861,16.614,0.871
A*,80x80,Path Ahead Spiking,10,10,671.9,31.81,166.8,4.638,17.0,63275.8,3695.611,131.08,6.643,132.406,6.695
D*Lite,20x20,Path Ahead Spiking,10,10,281.5,14.902,35.4,2.119,4.0,584.2,86.284,8.883,1.572,9.148,1.588
D*Lite,40x40,Path Ahead Spiking,10,10,395.6,38.497,79.4,2.989,8.3,2281.7,259.027,36.279,4.731,37.084,4.742
D*Lite,80x80,Path Ahead Spiking,10,10,742.3,43.461,166.6,3.534,17.1,7544.9,313.988,118.639,6.431,120.472,6.445
GBFS,20x20,Path Ahead Spiking,10,10,824.4,12.447,34.0,0.0,4.0,80.0,0.0,0.1,0.006,0.122,0.006
GBFS,40x40,Path Ahead Spiking,10,10,2033.5,36.01,74.0,0.0,8.0,320.0,0.0,0.405,0.016,0.464,0.019
GBFS,80x80,Path Ahead Spiking,10,10,4418.9,33.054,154.0,0.0,16.0,1280.0,0.0,1.614,0.05,1.742,0.056
UCS,20x20,Path Ahead Spiking,10,10,136.9,7.249,35.6,1.578,4.0,957.0,69.168,1.637,0.166,1.683,0.17
UCS,40x40,Path Ahead Spiking,10,10,298.3,17.302,80.8,5.75,8.4,8917.5,413.233,16.074,0.872,16.318,0.891
UCS,80x80,Path Ahead Spiking,10,10,628.9,27.037,165.8,6.957,16.9,73550.0,3833.693,136.007,7.045,137.522,7.109
wA*,20x20,Path Ahead Spiking,10,10,239.0,25.837,37.0,2.16,4.0,1229.0,61.693,2.427,0.128,2.474,0.131
wA*,40x40,Path Ahead Spiking,10,10,360.9,35.679,82.2,4.566,8.4,7734.8,1246.369,16.556,2.836,16.789,2.879
wA*,80x80,Path Ahead Spiking,10,10,683.9,29.422,164.2,4.367,16.8,55959.8,6392.027,121.763,13.429,123.014,13.557
