algorithm,size,seed,found,path_len,total_cost,nodes_expanded,runtime_ms,w
UCS,20x20,0,1,35,87.0,315,0.5009174346923828,
A*,20x20,0,1,35,87.0,304,0.5106665194034576,
wA*,20x20,0,1,35,87.0,220,0.3693755716085434,2.0
GBFS,20x20,0,1,35,183.0,35,0.044665299355983734,
D*Lite,20x20,0,1,35,87.0,307,3.8283756002783775,
UCS,20x20,1,1,35,100.0,323,0.4607494920492172,
A*,20x20,1,1,35,100.0,322,0.49783289432525635,
wA*,20x20,1,1,35,100.0,305,0.50370953977108,2.0
GBFS,20x20,1,1,35,166.0,35,0.041833147406578064,
D*Lite,20x20,1,1,35,100.0,308,3.6578746512532234,
UCS,20x20,2,1,35,94.0,297,0.4009995609521866,
A*,20x20,2,1,35,94.0,261,0.41220802813768387,
wA*,20x20,2,1,35,94.0,148,0.25125034153461456,2.0
GBFS,20x20,2,1,35,165.0,35,0.04091579467058182,
D*Lite,20x20,2,1,35,94.0,323,3.8897497579455376,
UCS,20x20,3,1,35,98.0,318,0.43333321809768677,
A*,20x20,3,1,35,98.0,308,0.5087917670607567,
wA*,20x20,3,1,35,98.0,245,0.3980835899710655,2.0
GBFS,20x20,3,1,35,181.0,35,0.04237517714500427,
D*Lite,20x20,3,1,35,98.0,322,3.8422076031565666,
UCS,20x20,4,1,35,98.0,320,0.4305839538574219,
A*,20x20,4,1,35,98.0,314,0.4858328029513359,
wA*,20x20,4,1,35,98.0,254,0.4238756373524666,2.0
GBFS,20x20,4,1,35,154.0,35,0.038582831621170044,
D*Lite,20x20,4,1,35,98.0,310,3.60829196870327,
UCS,20x20,5,1,35,108.0,321,0.42412523180246353,
A*,20x20,5,1,35,108.0,313,0.4870006814599037,
wA*,20x20,5,1,35,108.0,275,0.4516672343015671,2.0
GBFS,20x20,5,1,35,171.0,35,0.038625672459602356,
D*Lite,20x20,5,1,35,108.0,324,3.796999342739582,
UCS,20x20,6,1,35,93.0,320,0.4199165850877762,
A*,20x20,6,1,35,93.0,306,0.4748748615384102,
wA*,20x20,6,1,35,93.0,253,0.417584553360939,2.0
GBFS,20x20,6,1,35,172.0,35,0.03837514668703079,
D*Lite,20x20,6,1,35,93.0,311,3.6649582907557487,
UCS,20x20,7,1,35,114.0,321,0.49283262342214584,
A*,20x20,7,1,35,114.0,321,0.5240421742200851,
wA*,20x20,7,1,35,114.0,299,0.49733277410268784,2.0
GBFS,20x20,7,1,35,162.0,35,0.0382913276553154,
D*Lite,20x20,7,1,35,114.0,324,3.7102922797203064,
UCS,20x20,8,1,35,104.0,323,0.4242919385433197,
A*,20x20,8,1,35,104.0,322,0.4898328334093094,
wA*,20x20,8,1,35,104.0,294,0.47716591507196426,2.0
GBFS,20x20,8,1,35,166.0,35,0.03833416849374771,
D*Lite,20x20,8,1,35,104.0,324,3.988250158727169,
UCS,20x20,9,1,35,87.0,323,0.42733270674943924,
A*,20x20,9,1,35,87.0,307,0.4810001701116562,
wA*,20x20,9,1,35,87.0,206,0.33808406442403793,2.0
GBFS,20x20,9,1,35,174.0,35,0.03866665065288544,
D*Lite,20x20,9,1,35,87.0,311,3.8429154083132744,
UCS,40x40,0,1,75,203.0,1435,2.0527923479676247,
A*,40x40,0,1,75,203.0,1413,2.3212088271975517,
wA*,40x40,0,1,75,203.0,1038,1.7765406519174576,2.0
GBFS,40x40,0,1,75,391.0,75,0.08733384311199188,
D*Lite,40x40,0,1,75,203.0,1438,19.201666116714478,
UCS,40x40,1,1,75,216.0,1442,1.9821664318442345,
A*,40x40,1,1,75,216.0,1440,2.4134591221809387,
wA*,40x40,1,1,75,216.0,1307,2.3431675508618355,2.0
GBFS,40x40,1,1,75,396.0,75,0.10170787572860718,
D*Lite,40x40,1,1,75,216.0,1442,18.04295741021633,
UCS,40x40,2,1,75,218.0,1441,1.9659576937556267,
A*,40x40,2,1,75,218.0,1420,2.406749874353409,
wA*,40x40,2,1,75,218.0,1381,2.370750531554222,2.0
GBFS,40x40,2,1,75,404.0,75,0.08858460932970047,
D*Lite,40x40,2,1,75,218.0,1443,17.949875444173813,
UCS,40x40,3,1,75,225.0,1440,1.9669169560074806,
A*,40x40,3,1,75,225.0,1432,2.4154577404260635,
wA*,40x40,3,1,75,225.0,1380,2.3618750274181366,2.0
GBFS,40x40,3,1,75,392.0,75,0.08533336222171783,
D*Lite,40x40,3,1,75,225.0,1443,17.96704065054655,
UCS,40x40,4,1,77,240.0,1442,2.080082893371582,
A*,40x40,4,1,77,240.0,1439,2.328457310795784,
wA*,40x40,4,1,77,240.0,1439,2.4861665442585945,2.0
GBFS,40x40,4,1,75,369.0,75,0.08987449109554291,
D*Lite,40x40,4,1,77,240.0,1444,17.782624810934067,
UCS,40x40,5,1,75,223.0,1442,1.9862083718180656,
A*,40x40,5,1,75,223.0,1438,2.346666529774666,
wA*,40x40,5,1,75,223.0,1371,2.3686662316322327,2.0
GBFS,40x40,5,1,75,341.0,75,0.0855419784784317,
D*Lite,40x40,5,1,75,223.0,1444,18.01462471485138,
UCS,40x40,6,1,75,224.0,1444,2.1495409309864044,
A*,40x40,6,1,75,224.0,1441,2.4480000138282776,
wA*,40x40,6,1,75,224.0,1412,2.5625834241509438,2.0
GBFS,40x40,6,1,75,370.0,75,0.0866251066327095,
D*Lite,40x40,6,1,75,224.0,1444,18.57383269816637,
UCS,40x40,7,1,75,207.0,1442,2.040124498307705,
A*,40x40,7,1,75,207.0,1435,2.6800408959388733,
wA*,40x40,7,1,75,207.0,1303,2.3430828005075455,2.0
GBFS,40x40,7,1,75,335.0,75,0.09474996477365494,
D*Lite,40x40,7,1,75,207.0,1403,17.800957895815372,
UCS,40x40,8,1,75,211.0,1439,2.204500138759613,
A*,40x40,8,1,75,211.0,1424,2.3600831627845764,
wA*,40x40,8,1,75,211.0,1174,2.160916104912758,2.0
GBFS,40x40,8,1,75,357.0,75,0.09795743972063065,
D*Lite,40x40,8,1,75,211.0,1443,18.362040631473064,
UCS,40x40,9,1,75,219.0,1442,2.1478338167071342,
A*,40x40,9,1,75,219.0,1442,2.454875037074089,
wA*,40x40,9,1,75,219.0,1340,2.3884158581495285,2.0
GBFS,40x40,9,1,75,380.0,75,0.08895806968212128,
D*Lite,40x40,9,1,75,219.0,1442,18.594625405967236,
UCS,80x80,0,1,155,460.0,6076,9.285582229495049,
A*,80x80,0,1,155,460.0,6070,10.606999509036541,
wA*,80x80,0,1,155,460.0,6063,11.321917176246643,2.0
GBFS,80x80,0,1,155,778.0,155,0.19150041043758392,
D*Lite,80x80,0,1,155,460.0,6076,82.06600043922663,
UCS,80x80,1,1,157,467.0,6083,9.457208216190338,
A*,80x80,1,1,157,467.0,6081,11.320208199322224,
wA*,80x80,1,1,157,467.0,6097,12.09529209882021,2.0
GBFS,80x80,1,1,155,785.0,155,0.1944173127412796,
D*Lite,80x80,1,1,157,467.0,6084,83.97670835256577,
UCS,80x80,2,1,155,458.0,6082,9.223000146448612,
A*,80x80,2,1,155,458.0,6080,10.850290767848492,
wA*,80x80,2,1,155,458.0,6107,11.645167134702206,2.0
GBFS,80x80,2,1,155,830.0,155,0.19912514835596085,
D*Lite,80x80,2,1,155,458.0,6084,83.2242090255022,
UCS,80x80,3,1,157,444.0,6076,9.152542799711227,
A*,80x80,3,1,157,444.0,6053,12.607334181666374,
wA*,80x80,3,1,157,444.0,5413,10.531166568398476,2.0
GBFS,80x80,3,1,155,780.0,155,0.19279029220342636,
