algorithm,size,seed,found,path_len,total_cost,nodes_expanded,runtime_ms,w
UCS,20x20,0,1,35,87.0,315,0.7632486522197723,
A*,20x20,0,1,35,87.0,304,0.6258748471736908,
wA*,20x20,0,1,35,87.0,220,0.6127096712589264,2.0
GBFS,20x20,0,1,35,183.0,35,0.06795674562454224,
D*Lite,20x20,0,1,35,87.0,307,5.429541692137718,
UCS,20x20,1,1,35,100.0,323,0.6908755749464035,
A*,20x20,1,1,35,100.0,322,0.7852911949157715,
wA*,20x20,1,1,35,100.0,305,0.738292932510376,2.0
GBFS,20x20,1,1,35,166.0,35,0.055830925703048706,
D*Lite,20x20,1,1,35,100.0,308,5.046291276812553,
UCS,20x20,2,1,35,94.0,297,0.5789157003164291,
A*,20x20,2,1,35,94.0,261,0.5809590220451355,
wA*,20x20,2,1,35,94.0,148,0.34675002098083496,2.0
GBFS,20x20,2,1,35,165.0,35,0.05170702934265137,
D*Lite,20x20,2,1,35,94.0,323,4.912791773676872,
UCS,20x20,3,1,35,98.0,318,0.5904566496610641,
A*,20x20,3,1,35,98.0,308,0.6594173610210419,
wA*,20x20,3,1,35,98.0,245,0.5444567650556564,2.0
GBFS,20x20,3,1,35,181.0,35,0.04904158413410187,
D*Lite,20x20,3,1,35,98.0,322,4.746166989207268,
UCS,20x20,4,1,35,98.0,320,0.5732923746109009,
A*,20x20,4,1,35,98.0,314,0.6385445594787598,
wA*,20x20,4,1,35,98.0,254,0.5375426262617111,2.0
GBFS,20x20,4,1,35,154.0,35,0.04683248698711395,
D*Lite,20x20,4,1,35,98.0,310,4.380377009510994,
UCS,20x20,5,1,35,108.0,321,0.5457475781440735,
A*,20x20,5,1,35,108.0,313,0.6202496588230133,
wA*,20x20,5,1,35,108.0,275,0.5668345838785172,2.0
GBFS,20x20,5,1,35,171.0,35,0.045416876673698425,
D*Lite,20x20,5,1,35,108.0,324,4.39341738820076,
UCS,20x20,6,1,35,93.0,320,0.5407072603702545,
A*,20x20,6,1,35,93.0,306,0.5918741226196289,
wA*,20x20,6,1,35,93.0,253,0.5182512104511261,2.0
GBFS,20x20,6,1,35,172.0,35,0.04383549094200134,
D*Lite,20x20,6,1,35,93.0,311,4.278125241398811,
UCS,20x20,7,1,35,114.0,321,0.5377084016799927,
A*,20x20,7,1,35,114.0,321,0.6281230598688126,
wA*,20x20,7,1,35,114.0,299,0.6087087094783783,2.0
GBFS,20x20,7,1,35,162.0,35,0.043956562876701355,
D*Lite,20x20,7,1,35,114.0,324,4.371998831629753,
UCS,20x20,8,1,35,104.0,323,0.5431231111288071,
A*,20x20,8,1,35,104.0,322,0.6254147738218307,
wA*,20x20,8,1,35,104.0,294,0.5920827388763428,2.0
GBFS,20x20,8,1,35,166.0,35,0.04370883107185364,
D*Lite,20x20,8,1,35,104.0,324,4.402708262205124,
UCS,20x20,9,1,35,87.0,323,0.5437489598989487,
A*,20x20,9,1,35,87.0,307,0.6048735231161118,
wA*,20x20,9,1,35,87.0,206,0.4225838929414749,2.0
GBFS,20x20,9,1,35,174.0,35,0.044250860810279846,
D*Lite,20x20,9,1,35,87.0,311,4.321584478020668,
UCS,40x40,0,1,75,203.0,1435,2.595791593194008,
A*,40x40,0,1,75,203.0,1413,2.875540405511856,
wA*,40x40,0,1,75,203.0,1038,2.1948348730802536,2.0
GBFS,40x40,0,1,75,391.0,75,0.09920820593833923,
D*Lite,40x40,0,1,75,203.0,1438,21.118583157658577,
