algorithm,size,runs,mean_cost,std_cost,mean_expanded,std_expanded,mean_ms,std_ms,mean_path_len
A*,20x20,10,98.3,8.68,307.8,17.8,0.587,0.048,35.0
D*Lite,20x20,10,98.3,8.68,316.4,7.5,4.144,0.1,35.0
GBFS,20x20,10,169.4,8.72,35.0,0.0,0.042,0.003,35.0
UCS,20x20,10,98.3,8.68,318.1,7.8,0.525,0.033,35.0
wA*,20x20,10,98.3,8.68,249.9,48.6,0.494,0.097,35.0
A*,40x40,10,218.6,10.49,1432.4,10.0,2.931,0.102,75.2
D*Lite,40x40,10,218.6,10.49,1438.6,12.6,20.566,0.293,75.2
GBFS,40x40,10,373.5,23.5,75.0,0.0,0.097,0.004,75.0
UCS,40x40,10,218.6,10.49,1440.9,2.5,2.565,0.094,75.2
wA*,40x40,10,218.6,10.49,1314.5,122.0,2.799,0.261,75.2
A*,80x80,10,453.5,6.82,6071.8,11.7,13.041,0.644,156.2
D*Lite,80x80,10,453.5,6.82,6083.0,2.5,91.884,1.111,156.0
GBFS,80x80,10,768.9,33.05,155.0,0.0,0.215,0.009,155.0
UCS,80x80,10,453.5,6.82,6079.6,4.2,11.724,1.45,156.2
wA*,80x80,10,453.5,6.82,5956.5,218.8,13.932,1.986,156.2
