algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
UCS,20x20,0,Local Cost Spiking,0,1,38,128.0,1.803085207939148,4,3,922,1.7218347638845444,,10,5,5,50
A*,20x20,0,Local Cost Spiking,0,1,42,151.0,1.48099847137928,5,4,742,1.4119986444711685,,10,5,5,50
wA*,20x20,0,Local Cost Spiking,0,1,34,113.0,1.2777093797922134,4,3,624,1.2242496013641357,2.0,10,5,5,50
GBFS,20x20,0,Local Cost Spiking,0,1,34,283.0,0.1393333077430725,4,3,80,0.10350160300731659,,10,5,5,50
D*Lite,20x20,0,Local Cost Spiking,0,1,34,120.0,4.729956388473511,4,3,318,4.467708989977837,,10,5,5,50
UCS,20x20,1,Local Cost Spiking,0,1,34,131.0,1.609334722161293,4,3,973,1.5524551272392273,,10,5,5,50
A*,20x20,1,Local Cost Spiking,0,1,36,133.0,1.6486681997776031,4,3,879,1.5972517430782318,,10,5,5,50
wA*,20x20,1,Local Cost Spiking,0,1,36,161.0,1.4786254614591599,4,3,741,1.4280453324317932,2.0,10,5,5,50
GBFS,20x20,1,Local Cost Spiking,0,1,34,366.0,0.1274552196264267,4,3,80,0.09496137499809265,,10,5,5,50
D*Lite,20x20,1,Local Cost Spiking,0,1,34,146.0,5.656750872731209,4,3,367,5.3822919726371765,,10,5,5,50
UCS,20x20,2,Local Cost Spiking,0,1,40,141.0,1.4492515474557877,4,3,858,1.3928767293691635,,10,5,5,50
A*,20x20,2,Local Cost Spiking,0,1,34,140.0,1.4852490276098251,4,3,746,1.4321692287921906,,10,5,5,50
wA*,20x20,2,Local Cost Spiking,0,1,34,163.0,1.7706248909235,4,3,853,1.7190854996442795,2.0,10,5,5,50
GBFS,20x20,2,Local Cost Spiking,0,1,34,265.0,0.12404285371303558,4,3,80,0.0922083854675293,,10,5,5,50
D*Lite,20x20,2,Local Cost Spiking,0,1,38,186.0,6.57491572201252,4,3,430,6.305499002337456,,10,5,5,50
UCS,20x20,3,Local Cost Spiking,0,1,34,115.0,1.3801641762256622,4,3,778,1.3250838965177536,,10,5,5,50
A*,20x20,3,Local Cost Spiking,0,1,36,146.0,1.9199177622795105,4,3,862,1.8601231276988983,,10,5,5,50
wA*,20x20,3,Local Cost Spiking,0,1,36,143.0,1.4463327825069427,4,3,718,1.3877470046281815,2.0,10,5,5,50
GBFS,20x20,3,Local Cost Spiking,0,1,34,381.0,0.13437308371067047,4,3,80,0.0983700156211853,,10,5,5,50
D*Lite,20x20,3,Local Cost Spiking,0,1,36,169.0,6.484292447566986,4,3,421,6.226666271686554,,10,5,5,50
UCS,20x20,4,Local Cost Spiking,0,1,38,143.0,1.570291817188263,4,3,905,1.5132501721382141,,10,5,5,50
A*,20x20,4,Local Cost Spiking,0,1,34,132.0,1.6188323497772217,4,3,836,1.5670377761125565,,10,5,5,50
wA*,20x20,4,Local Cost Spiking,0,1,34,137.0,1.5106648206710815,4,3,724,1.4575012028217316,2.0,10,5,5,50
GBFS,20x20,4,Local Cost Spiking,0,1,34,354.0,0.13716891407966614,4,3,80,0.10120496153831482,,10,5,5,50
D*Lite,20x20,4,Local Cost Spiking,0,1,34,140.0,5.241790786385536,4,3,338,4.993833601474762,,10,5,5,50
UCS,20x20,5,Local Cost Spiking,0,1,36,111.0,1.3424605131149292,4,3,762,1.2872107326984406,,10,5,5,50
A*,20x20,5,Local Cost Spiking,0,1,34,145.0,1.2890435755252838,4,3,669,1.2395847588777542,,10,5,5,50
wA*,20x20,5,Local Cost Spiking,0,1,34,134.0,1.2220852077007294,4,3,580,1.1712461709976196,2.0,10,5,5,50
GBFS,20x20,5,Local Cost Spiking,0,1,34,421.0,0.13562291860580444,4,3,80,0.1003313809633255,,10,5,5,50
D*Lite,20x20,5,Local Cost Spiking,0,1,34,192.0,5.453541874885559,4,3,361,5.159582942724228,,10,5,5,50
UCS,20x20,6,Local Cost Spiking,0,1,38,125.0,1.7839595675468445,4,3,988,1.7213765531778336,,10,5,5,50
A*,20x20,6,Local Cost Spiking,0,1,40,149.0,1.495208591222763,4,3,776,1.4422070235013962,,10,5,5,50
wA*,20x20,6,Local Cost Spiking,0,1,36,191.0,1.3991240411996841,4,3,691,1.3479162007570267,2.0,10,5,5,50
GBFS,20x20,6,Local Cost Spiking,0,1,34,372.0,0.13228878378868103,4,3,80,0.09978935122489929,,10,5,5,50
D*Lite,20x20,6,Local Cost Spiking,0,1,38,182.0,5.185874179005623,4,3,345,4.906335845589638,,10,5,5,50
UCS,20x20,7,Local Cost Spiking,0,1,36,187.0,1.7171651124954224,4,3,985,1.659836620092392,,10,5,5,50
A*,20x20,7,Local Cost Spiking,0,1,36,141.0,1.5637092292308807,4,3,808,1.5091225504875183,,10,5,5,50
wA*,20x20,7,Local Cost Spiking,0,1,44,193.0,1.6393326222896576,5,4,786,1.5752874314785004,2.0,10,5,5,50
GBFS,20x20,7,Local Cost Spiking,0,1,34,362.0,0.1315828412771225,4,3,80,0.09774602949619293,,10,5,5,50
D*Lite,20x20,7,Local Cost Spiking,0,1,36,193.0,7.507000118494034,4,3,485,7.216960191726685,,10,5,5,50
UCS,20x20,8,Local Cost Spiking,0,1,34,127.0,1.6164164990186691,4,3,970,1.5614144504070282,,10,5,5,50
A*,20x20,8,Local Cost Spiking,0,1,40,172.0,1.7564184963703156,4,3,847,1.6988739371299744,,10,5,5,50
wA*,20x20,8,Local Cost Spiking,0,1,34,145.0,1.5914160758256912,4,3,765,1.5332065522670746,2.0,10,5,5,50
GBFS,20x20,8,Local Cost Spiking,0,1,34,416.0,0.13187527656555176,4,3,80,0.09804032742977142,,10,5,5,50
D*Lite,20x20,8,Local Cost Spiking,0,1,34,145.0,5.711955949664116,4,3,377,5.4236650466918945,,10,5,5,50
UCS,20x20,9,Local Cost Spiking,0,1,34,112.0,1.6988757997751236,4,3,965,1.642296090722084,,10,5,5,50
A*,20x20,9,Local Cost Spiking,0,1,42,142.0,1.8075015395879745,5,4,929,1.7445441335439682,,10,5,5,50
wA*,20x20,9,Local Cost Spiking,0,1,36,160.0,1.48012675344944,4,3,704,1.4264993369579315,2.0,10,5,5,50
GBFS,20x20,9,Local Cost Spiking,0,1,34,324.0,0.13200007379055023,4,3,80,0.09758397936820984,,10,5,5,50
D*Lite,20x20,9,Local Cost Spiking,0,1,34,165.0,5.760248750448227,4,3,373,5.47453761100769,,10,5,5,50
UCS,40x40,0,Local Cost Spiking,0,1,86,298.0,15.201292932033539,9,8,8525,14.958128333091736,,10,5,5,50
A*,40x40,0,Local Cost Spiking,0,1,86,363.0,14.507459476590157,9,8,7106,14.257913455367088,,10,5,5,50
wA*,40x40,0,Local Cost Spiking,0,1,78,325.0,17.446085810661316,8,7,8311,17.19837263226509,2.0,10,5,5,50
GBFS,40x40,0,Local Cost Spiking,0,1,74,791.0,0.46399980783462524,8,7,320,0.38520805537700653,,10,5,5,50
D*Lite,40x40,0,Local Cost Spiking,0,1,78,334.0,24.337541311979294,8,7,1563,23.577673360705376,,10,5,5,50
UCS,40x40,1,Local Cost Spiking,0,1,74,279.0,14.971541240811348,8,7,8455,14.743752777576447,,10,5,5,50
A*,40x40,1,Local Cost Spiking,0,1,74,333.0,15.873249620199203,8,7,7729,15.654167160391808,,10,5,5,50
wA*,40x40,1,Local Cost Spiking,0,1,74,327.0,17.03179068863392,8,7,7846,16.769789159297943,2.0,10,5,5,50
GBFS,40x40,1,Local Cost Spiking,0,1,74,746.0,0.526081770658493,8,7,320,0.43704360723495483,,10,5,5,50
D*Lite,40x40,1,Local Cost Spiking,0,1,74,337.0,25.55404044687748,8,7,1547,24.75820854306221,,10,5,5,50
UCS,40x40,2,Local Cost Spiking,0,1,76,282.0,14.850584790110588,8,7,8274,14.612171798944473,,10,5,5,50
A*,40x40,2,Local Cost Spiking,0,1,76,282.0,14.919376000761986,8,7,7227,14.666413888335228,,10,5,5,50
wA*,40x40,2,Local Cost Spiking,0,1,76,282.0,12.68874667584896,8,7,5759,12.477416545152664,2.0,10,5,5,50
GBFS,40x40,2,Local Cost Spiking,0,1,74,504.0,0.5170814692974091,8,7,320,0.42863190174102783,,10,5,5,50
D*Lite,40x40,2,Local Cost Spiking,0,1,76,291.0,29.635334387421608,8,7,1571,28.79246696829796,,10,5,5,50
UCS,40x40,3,Local Cost Spiking,0,1,76,257.0,14.960667118430138,8,7,8216,14.723245054483414,,10,5,5,50
A*,40x40,3,Local Cost Spiking,0,1,78,298.0,16.098540276288986,8,7,7643,15.868797898292542,,10,5,5,50
wA*,40x40,3,Local Cost Spiking,0,1,76,270.0,13.38704489171505,8,7,6095,13.177203014492989,2.0,10,5,5,50
GBFS,40x40,3,Local Cost Spiking,0,1,74,692.0,0.5340427160263062,8,7,320,0.4472881555557251,,10,5,5,50
D*Lite,40x40,3,Local Cost Spiking,0,1,76,270.0,24.109043180942535,8,7,1527,23.35979975759983,,10,5,5,50
