algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
UCS,20x20,0,Path Ahead Spiking,10,1,36,131.0,1.520499587059021,4,3,878,1.4662090688943863,,10,5,5,50
A*,20x20,0,Path Ahead Spiking,10,1,34,202.0,2.247042953968048,4,3,1143,2.2008810192346573,,10,5,5,50
wA*,20x20,0,Path Ahead Spiking,10,1,36,225.0,2.5192927569150925,4,3,1276,2.473624423146248,2.0,10,5,5,50
GBFS,20x20,0,Path Ahead Spiking,10,1,34,833.0,0.12858398258686066,4,3,80,0.10454095900058746,,10,5,5,50
D*Lite,20x20,0,Path Ahead Spiking,10,1,34,250.0,7.960250601172447,4,3,522,7.693126797676086,,10,5,5,50
UCS,20x20,1,Path Ahead Spiking,10,1,36,140.0,1.6791243106126785,4,3,996,1.6377512365579605,,10,5,5,50
A*,20x20,1,Path Ahead Spiking,10,1,38,200.0,2.1898355334997177,4,3,1115,2.145998179912567,,10,5,5,50
wA*,20x20,1,Path Ahead Spiking,10,1,36,253.0,2.5042500346899033,4,3,1264,2.458583563566208,2.0,10,5,5,50
GBFS,20x20,1,Path Ahead Spiking,10,1,34,816.0,0.1284610480070114,4,3,80,0.10499916970729828,,10,5,5,50
D*Lite,20x20,1,Path Ahead Spiking,10,1,34,279.0,8.77504050731659,4,3,557,8.529333397746086,,10,5,5,50
UCS,20x20,2,Path Ahead Spiking,10,1,34,136.0,1.497957855463028,4,3,873,1.460416242480278,,10,5,5,50
A*,20x20,2,Path Ahead Spiking,10,1,38,183.0,2.19879113137722,4,3,1114,2.153875306248665,,10,5,5,50
wA*,20x20,2,Path Ahead Spiking,10,1,34,225.0,2.369999885559082,4,3,1181,2.324705943465233,2.0,10,5,5,50
GBFS,20x20,2,Path Ahead Spiking,10,1,34,815.0,0.12216903269290924,4,3,80,0.09974837303161621,,10,5,5,50
D*Lite,20x20,2,Path Ahead Spiking,10,1,34,275.0,10.043418034911156,4,3,646,9.788000956177711,,10,5,5,50
UCS,20x20,3,Path Ahead Spiking,10,1,36,136.0,1.5312079340219498,4,3,902,1.490255817770958,,10,5,5,50
A*,20x20,3,Path Ahead Spiking,10,1,38,206.0,2.028709277510643,4,3,1034,1.9854139536619186,,10,5,5,50
wA*,20x20,3,Path Ahead Spiking,10,1,36,265.0,2.531958743929863,4,3,1286,2.484627068042755,2.0,10,5,5,50
GBFS,20x20,3,Path Ahead Spiking,10,1,34,831.0,0.1227501779794693,4,3,80,0.09941495954990387,,10,5,5,50
D*Lite,20x20,3,Path Ahead Spiking,10,1,34,281.0,8.80083441734314,4,3,555,8.553875610232353,,10,5,5,50
UCS,20x20,4,Path Ahead Spiking,10,1,34,146.0,1.627584919333458,4,3,966,1.5872921794652939,,10,5,5,50
A*,20x20,4,Path Ahead Spiking,10,1,38,204.0,2.3092497140169144,4,3,1191,2.2630002349615097,,10,5,5,50
wA*,20x20,4,Path Ahead Spiking,10,1,36,250.0,2.4425406008958817,4,3,1221,2.397831529378891,2.0,10,5,5,50
GBFS,20x20,4,Path Ahead Spiking,10,1,34,854.0,0.11412613093852997,4,3,80,0.09279139339923859,,10,5,5,50
D*Lite,20x20,4,Path Ahead Spiking,10,1,36,286.0,8.361207321286201,4,3,531,8.103961125016212,,10,5,5,50
UCS,20x20,5,Path Ahead Spiking,10,1,34,129.0,1.5076249837875366,4,3,893,1.468835398554802,,10,5,5,50
A*,20x20,5,Path Ahead Spiking,10,1,36,189.0,1.9555836915969849,4,3,978,1.9130818545818329,,10,5,5,50
wA*,20x20,5,Path Ahead Spiking,10,1,36,272.0,2.4032071232795715,4,3,1203,2.3576244711875916,2.0,10,5,5,50
GBFS,20x20,5,Path Ahead Spiking,10,1,34,821.0,0.12191571295261383,4,3,80,0.09937584400177002,,10,5,5,50
D*Lite,20x20,5,Path Ahead Spiking,10,1,36,309.0,8.851416409015656,4,3,591,8.612999692559242,,10,5,5,50
UCS,20x20,6,Path Ahead Spiking,10,1,38,141.0,1.8202103674411774,4,3,1071,1.7768796533346176,,10,5,5,50
A*,20x20,6,Path Ahead Spiking,10,1,36,195.0,2.1598320454359055,4,3,1038,2.1163765341043472,,10,5,5,50
wA*,20x20,6,Path Ahead Spiking,10,1,40,221.0,2.4591274559497833,4,3,1218,2.411291003227234,2.0,10,5,5,50
GBFS,20x20,6,Path Ahead Spiking,10,1,34,822.0,0.12179091572761536,4,3,80,0.09908154606819153,,10,5,5,50
D*Lite,20x20,6,Path Ahead Spiking,10,1,40,290.0,7.324455305933952,4,3,464,7.049916312098503,,10,5,5,50
UCS,20x20,7,Path Ahead Spiking,10,1,36,137.0,1.6147084534168243,4,3,962,1.573212444782257,,10,5,5,50
A*,20x20,7,Path Ahead Spiking,10,1,36,181.0,2.02062726020813,4,3,996,1.9788742065429688,,10,5,5,50
wA*,20x20,7,Path Ahead Spiking,10,1,40,252.0,2.616874873638153,4,3,1279,2.5690384209156036,2.0,10,5,5,50
GBFS,20x20,7,Path Ahead Spiking,10,1,34,812.0,0.12524984776973724,4,3,80,0.1017935574054718,,10,5,5,50
D*Lite,20x20,7,Path Ahead Spiking,10,1,34,279.0,8.130708709359169,4,3,534,7.8904591500759125,,10,5,5,50
UCS,20x20,8,Path Ahead Spiking,10,1,34,148.0,1.7381645739078522,4,3,988,1.6978327184915543,,10,5,5,50
A*,20x20,8,Path Ahead Spiking,10,1,40,217.0,2.3169592022895813,4,3,1181,2.2702068090438843,,10,5,5,50
wA*,20x20,8,Path Ahead Spiking,10,1,36,243.0,2.5471244007349014,4,3,1274,2.5006216019392014,2.0,10,5,5,50
GBFS,20x20,8,Path Ahead Spiking,10,1,34,816.0,0.12104213237762451,4,3,80,0.09870342910289764,,10,5,5,50
D*Lite,20x20,8,Path Ahead Spiking,10,1,34,290.0,11.199580505490303,4,3,706,10.937333106994629,,10,5,5,50
UCS,20x20,9,Path Ahead Spiking,10,1,38,125.0,1.8460415303707123,4,3,1041,1.7987079918384552,,10,5,5,50
A*,20x20,9,Path Ahead Spiking,10,1,38,129.0,1.8899179995059967,4,3,959,1.8460806459188461,,10,5,5,50
wA*,20x20,9,Path Ahead Spiking,10,1,40,184.0,2.2265836596488953,4,3,1088,2.1800827234983444,2.0,10,5,5,50
GBFS,20x20,9,Path Ahead Spiking,10,1,34,824.0,0.14304183423519135,4,3,80,0.10878965258598328,,10,5,5,50
D*Lite,20x20,9,Path Ahead Spiking,10,1,38,276.0,11.6799995303154,4,3,736,11.409621685743332,,10,5,5,50
UCS,40x40,0,Path Ahead Spiking,10,1,80,278.0,16.18737354874611,8,7,9042,15.970375388860703,,10,5,5,50
A*,40x40,0,Path Ahead Spiking,10,1,80,288.0,16.3356252014637,8,7,7925,16.118334606289864,,10,5,5,50
wA*,40x40,0,Path Ahead Spiking,10,1,80,337.0,14.792334288358688,8,7,6946,14.598589390516281,2.0,10,5,5,50
GBFS,40x40,0,Path Ahead Spiking,10,1,74,2041.0,0.4552491009235382,8,7,320,0.4008803516626358,,10,5,5,50
D*Lite,40x40,0,Path Ahead Spiking,10,1,82,402.0,36.575792357325554,9,8,2278,35.77146306633949,,10,5,5,50
UCS,40x40,1,Path Ahead Spiking,10,1,78,291.0,15.954706817865372,8,7,9155,15.733998268842697,,10,5,5,50
A*,40x40,1,Path Ahead Spiking,10,1,74,343.0,15.820831060409546,8,7,7900,15.621459111571312,,10,5,5,50
wA*,40x40,1,Path Ahead Spiking,10,1,80,359.0,17.58674904704094,8,7,8493,17.374956980347633,2.0,10,5,5,50
GBFS,40x40,1,Path Ahead Spiking,10,1,74,2046.0,0.45833177864551544,8,7,320,0.40408410131931305,,10,5,5,50
D*Lite,40x40,1,Path Ahead Spiking,10,1,76,357.0,29.92258407175541,8,7,1886,29.16291356086731,,10,5,5,50
UCS,40x40,2,Path Ahead Spiking,10,1,80,295.0,15.374753624200821,8,7,8555,15.145959332585335,,10,5,5,50
A*,40x40,2,Path Ahead Spiking,10,1,88,344.0,16.075123101472855,9,8,7796,15.850331634283066,,10,5,5,50
wA*,40x40,2,Path Ahead Spiking,10,1,76,403.0,15.30483365058899,8,7,7129,15.116918832063675,2.0,10,5,5,50
GBFS,40x40,2,Path Ahead Spiking,10,1,74,2104.0,0.4675425589084625,8,7,320,0.41037797927856445,,10,5,5,50
D*Lite,40x40,2,Path Ahead Spiking,10,1,84,386.0,42.38203912973404,9,8,2590,41.582703590393066,,10,5,5,50
UCS,40x40,3,Path Ahead Spiking,10,1,94,303.0,16.911333426833153,10,9,9554,16.67383313179016,,10,5,5,50
A*,40x40,3,Path Ahead Spiking,10,1,94,349.0,16.67766645550728,10,9,8262,16.455747187137604,,10,5,5,50
wA*,40x40,3,Path Ahead Spiking,10,1,90,392.0,18.947165459394455,9,8,9079,18.71696673333645,2.0,10,5,5,50
GBFS,40x40,3,Path Ahead Spiking,10,1,74,2042.0,0.48020854592323303,8,7,320,0.41962601244449615,,10,5,5,50
D*Lite,40x40,3,Path Ahead Spiking,10,1,80,380.0,31.632959842681885,8,7,2003,30.866539105772972,,10,5,5,50
UCS,40x40,4,Path Ahead Spiking,10,1,76,301.0,15.567667782306671,8,7,8843,15.358202159404755,,10,5,5,50
A*,40x40,4,Path Ahead Spiking,10,1,76,405.0,16.194168478250504,8,7,7983,15.986045822501183,,10,5,5,50
wA*,40x40,4,Path Ahead Spiking,10,1,82,368.0,20.456332713365555,9,8,9689,20.210372284054756,2.0,10,5,5,50
GBFS,40x40,4,Path Ahead Spiking,10,1,74,2019.0,0.4430823028087616,8,7,320,0.3889594227075577,,10,5,5,50
D*Lite,40x40,4,Path Ahead Spiking,10,1,82,361.0,41.34370759129524,9,8,2535,40.535204112529755,,10,5,5,50
UCS,40x40,5,Path Ahead Spiking,10,1,78,308.0,15.301000326871872,8,7,8566,15.084169805049896,,10,5,5,50
A*,40x40,5,Path Ahead Spiking,10,1,90,363.0,15.7919991761446,9,8,7716,15.582412481307983,,10,5,5,50
wA*,40x40,5,Path Ahead Spiking,10,1,90,358.0,13.824207708239555,9,8,6554,13.642415404319763,2.0,10,5,5,50
GBFS,40x40,5,Path Ahead Spiking,10,1,74,1991.0,0.4555005580186844,8,7,320,0.4014633595943451,,10,5,5,50
D*Lite,40x40,5,Path Ahead Spiking,10,1,74,436.0,43.67779195308685,8,7,2700,42.946040630340576,,10,5,5,50
UCS,40x40,6,Path Ahead Spiking,10,1,86,336.0,16.26533269882202,9,8,9334,16.041744500398636,,10,5,5,50
A*,40x40,6,Path Ahead Spiking,10,1,100,381.0,18.515707924962044,10,9,9277,18.27295869588852,,10,5,5,50
wA*,40x40,6,Path Ahead Spiking,10,1,80,360.0,12.77845911681652,8,7,6136,12.604579329490662,2.0,10,5,5,50
GBFS,40x40,6,Path Ahead Spiking,10,1,74,2070.0,0.44216588139533997,8,7,320,0.3909170627593994,,10,5,5,50
D*Lite,40x40,6,Path Ahead Spiking,10,1,80,416.0,34.810708835721016,8,7,2114,34.0054165571928,,10,5,5,50
UCS,40x40,7,Path Ahead Spiking,10,1,76,273.0,15.186415985226631,8,7,8483,14.969170093536377,,10,5,5,50
A*,40x40,7,Path Ahead Spiking,10,1,78,335.0,14.869624748826027,8,7,7260,14.677876606583595,,10,5,5,50
wA*,40x40,7,Path Ahead Spiking,10,1,80,316.0,18.67120712995529,8,7,8744,18.447671085596085,2.0,10,5,5,50
GBFS,40x40,7,Path Ahead Spiking,10,1,74,1985.0,0.4657488316297531,8,7,320,0.410543754696846,,10,5,5,50
D*Lite,40x40,7,Path Ahead Spiking,10,1,80,421.0,36.60491667687893,8,7,2248,35.824377089738846,,10,5,5,50
UCS,40x40,8,Path Ahead Spiking,10,1,76,295.0,14.600539579987526,8,7,8364,14.392707496881485,,10,5,5,50
A*,40x40,8,Path Ahead Spiking,10,1,80,331.0,15.55720716714859,8,7,7730,15.355750918388367,,10,5,5,50
wA*,40x40,8,Path Ahead Spiking,10,1,80,413.0,16.914792358875275,8,7,8133,16.708090901374817,2.0,10,5,5,50
GBFS,40x40,8,Path Ahead Spiking,10,1,74,2007.0,0.42841769754886627,8,7,320,0.3782939165830612,,10,5,5,50
D*Lite,40x40,8,Path Ahead Spiking,10,1,78,460.0,34.94195640087128,8,7,2208,34.18029844760895,,10,5,5,50
UCS,40x40,9,Path Ahead Spiking,10,1,84,303.0,16.215914860367775,9,8,9279,15.99183864891529,,10,5,5,50
A*,40x40,9,Path Ahead Spiking,10,1,84,303.0,16.167957335710526,9,8,8076,15.953917056322098,,10,5,5,50
wA*,40x40,9,Path Ahead Spiking,10,1,84,303.0,13.753749430179596,9,8,6445,13.561002910137177,2.0,10,5,5,50
GBFS,40x40,9,Path Ahead Spiking,10,1,74,2030.0,0.48404186964035034,8,7,320,0.4274137318134308,,10,5,5,50
D*Lite,40x40,9,Path Ahead Spiking,10,1,78,337.0,37.11146116256714,8,7,2255,36.328792572021484,,10,5,5,50
UCS,80x80,0,Path Ahead Spiking,10,1,164,665.0,127.21545808017254,17,16,68331,125.84616243839264,,10,5,5,50
A*,80x80,0,Path Ahead Spiking,10,1,162,702.0,123.92333336174488,17,16,57805,122.70158715546131,,10,5,5,50
wA*,80x80,0,Path Ahead Spiking,10,1,158,668.0,123.37295897305012,16,15,55561,122.1767570823431,2.0,10,5,5,50
GBFS,80x80,0,Path Ahead Spiking,10,1,154,4428.0,1.79237499833107,16,15,1280,1.6649998724460602,,10,5,5,50
D*Lite,80x80,0,Path Ahead Spiking,10,1,168,795.0,127.16383300721645,17,16,7756,125.12433342635632,,10,5,5,50
UCS,80x80,1,Path Ahead Spiking,10,1,160,629.0,136.7724146693945,16,15,73312,135.37258468568325,,10,5,5,50
A*,80x80,1,Path Ahead Spiking,10,1,170,664.0,134.61799919605255,17,16,62958,133.29079002141953,,10,5,5,50
wA*,80x80,1,Path Ahead Spiking,10,1,160,685.0,116.629708558321,16,15,51981,115.4814101755619,2.0,10,5,5,50
GBFS,80x80,1,Path Ahead Spiking,10,1,154,4435.0,1.7841663211584091,16,15,1280,1.6547534614801407,,10,5,5,50
D*Lite,80x80,1,Path Ahead Spiking,10,1,162,779.0,122.59654328227043,17,16,7488,120.68750523030758,,10,5,5,50
