algorithm,size,rule,lookahead,runs,mean_cost,std_cost,mean_steps,std_steps,mean_replans,mean_expanded,std_expanded,mean_replan_ms,std_replan_ms,mean_total_ms,std_total_ms
A*,20x20,Path Ahead Spiking,10,10,190.6,24.263,37.2,1.687,4.0,1074.9,84.717,2.098,0.167,2.143,0.168
A*,40x40,Path Ahead Spiking,10,10,344.2,34.227,84.4,8.422,8.7,7992.5,523.161,16.313,0.995,16.518,1.008
A*,80x80,Path Ahead Spiking,10,10,671.9,31.81,166.8,4.638,17.0,63275.8,3695.611,133.438,7.531,134.737,7.597
D*Lite,20x20,Path Ahead Spiking,10,10,281.5,14.902,35.4,2.119,4.0,584.2,86.284,8.887,1.434,9.144,1.444
D*Lite,40x40,Path Ahead Spiking,10,10,395.6,38.497,79.4,2.989,8.3,2281.7,259.027,36.516,4.473,37.301,4.483
D*Lite,80x80,Path Ahead Spiking,10,10,742.3,43.461,166.6,3.534,17.1,7544.9,313.988,120.126,5.652,121.955,5.669
GBFS,20x20,Path Ahead Spiking,10,10,824.4,12.447,34.0,0.0,4.0,80.0,0.0,0.1,0.003,0.122,0.004
GBFS,40x40,Path Ahead Spiking,10,10,2033.5,36.01,74.0,0.0,8.0,320.0,0.0,0.408,0.013,0.464,0.014
GBFS,80x80,Path Ahead Spiking,10,10,4418.9,33.054,154.0,0.0,16.0,1280.0,0.0,1.643,0.011,1.771,0.012
UCS,20x20,Path Ahead Spiking,10,10,136.9,7.249,35.6,1.578,4.0,957.0,69.168,1.622,0.136,1.665,0.136
UCS,40x40,Path Ahead Spiking,10,10,298.3,17.302,80.8,5.75,8.4,8917.5,413.233,15.987,0.715,16.204,0.723
UCS,80x80,Path Ahead Spiking,10,10,628.9,27.037,165.8,6.957,16.9,73550.0,3833.693,136.748,6.853,138.197,6.921
wA*,20x20,Path Ahead Spiking,10,10,239.0,25.837,37.0,2.16,4.0,1229.0,61.693,2.439,0.099,2.484,0.1
wA*,40x40,Path Ahead Spiking,10,10,360.9,35.679,82.2,4.566,8.4,7734.8,1246.369,16.454,2.562,16.657,2.584
wA*,80x80,Path Ahead Spiking,10,10,683.9,29.422,164.2,4.367,16.8,55959.8,6392.027,124.357,13.958,125.587,14.082
