algorithm,size,runs,mean_cost,std_cost,mean_expanded,std_expanded,mean_ms,std_ms,mean_path_len
A*,20x20,10,98.3,8.68,307.8,17.8,0.487,0.03,35.0
D*Lite,20x20,10,98.3,8.68,316.4,7.5,3.783,0.119,35.0
GBFS,20x20,10,169.4,8.72,35.0,0.0,0.04,0.002,35.0
UCS,20x20,10,98.3,8.68,318.1,7.8,0.442,0.033,35.0
wA*,20x20,10,98.3,8.68,249.9,48.6,0.413,0.078,35.0
A*,40x40,10,218.6,10.49,1432.4,10.0,2.417,0.104,75.2
D*Lite,40x40,10,218.6,10.49,1438.6,12.6,18.229,0.45,75.2
GBFS,40x40,10,373.5,23.5,75.0,0.0,0.091,0.006,75.0
UCS,40x40,10,218.6,10.49,1440.9,2.5,2.058,0.086,75.2
wA*,40x40,10,218.6,10.49,1314.5,122.0,2.316,0.216,75.2
A*,80x80,10,453.5,6.82,6071.8,11.7,10.993,0.61,156.2
D*Lite,80x80,10,453.5,6.82,6083.0,2.5,82.023,1.047,156.0
GBFS,80x80,10,768.9,33.05,155.0,0.0,0.195,0.008,155.0
UCS,80x80,10,453.5,6.82,6079.6,4.2,9.198,0.165,156.2
wA*,80x80,10,453.5,6.82,5956.5,218.8,11.386,0.408,156.2
